LAMBAYEQUE;CHICLAYO;0;0;0;0;1;0;1;1;0;0;0;0;1;1;0;1;1;0;0;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1;33;0;2;137;1;0;20;0;1;42;0;2;148;1;1;29;0;2;196;1;5;171;1;2;61;0;3;196;1;1;151;1;3;87;0;1;27;0;Very Low;High;Very Low;Low;Very High;High;Moderate;Very Low
LORETO;MARISCAL RAMON CASTILLA;1;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;0;1;1;1;1;1;0;1;0;0;2;115;1;1;7;0;1;76;0;1;37;0;1;73;0;1;88;0;1;58;0;2;24;0;3;189;1;2;63;0;1;145;1;2;18;0;1;28;0;Moderate;Very Low;Low;Very Low;Very Low;High;Very Low;Very Low
TACNA;JORGE BASADRE;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;1;0;1;4;0;1;96;0;2;137;1;1;28;0;2;137;1;0;25;0;3;64;0;1;29;0;2;122;1;1;61;0;2;6;0;1;29;0;Very Low;Very Low;Moderate;High;Low;Low;Very Low;Very Low
CALLAO;CALLAO;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;0;1;1;1;0;17;0;2;123;1;1;57;0;1;42;0;2;175;1;3;191;1;2;177;1;6;193;1;1;26;0;3;172;1;1;104;1;3;81;0;1;30;0;Very Low;High;Low;Low;Very High;Moderate;Moderate;Very Low
MOQUEGUA;ILO;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;8;0;2;140;1;1;89;0;1;4;0;1;53;0;2;150;1;1;132;1;4;135;1;1;8;0;2;56;0;0;13;0;2;14;0;1;31;0;Very Low;High;Moderate;Very Low;High;Very Low;Very Low;Very Low
SAN MARTIN;PICOTA;0;0;0;1;0;1;0;0;0;0;1;1;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0;0;1;0;0;2;86;0;1;20;0;0;26;0;2;112;1;2;122;1;2;140;1;1;114;1;4;139;1;2;140;1;2;45;0;1;87;0;2;37;0;1;32;0;Moderate;Very Low;Very Low;Moderate;High;Moderate;Very Low;Very Low
TACNA;TACNA;0;0;0;0;0;0;1;1;1;1;0;0;1;0;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;1;1;1;0;15;0;2;107;1;1;105;1;1;18;0;2;136;1;2;101;1;2;173;1;5;181;1;1;18;0;3;179;1;1;103;1;3;70;0;1;33;0;Very Low;Moderate;Moderate;Very Low;Very High;Moderate;Low;Very Low
ICA;CHINCHA;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;0;1;1;0;1;1;1;0;0;0;1;1;1;1;1;0;18;0;2;116;1;1;55;0;1;57;0;2;115;1;2;111;1;2;186;1;5;170;1;2;57;0;3;188;1;1;140;1;3;88;0;1;35;0;Very Low;Moderate;Low;Low;Very High;High;Moderate;Very Low
AREQUIPA;AREQUIPA;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;1;1;0;0;0;1;0;1;1;1;0;6;0;2;128;1;1;93;0;1;19;0;1;64;0;2;155;1;2;193;1;5;168;1;1;31;0;3;178;1;1;116;1;3;74;0;1;35;0;Very Low;High;Moderate;Very Low;Very High;Moderate;Low;Very Low
PIURA;SULLANA;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;1;1;0;1;1;1;1;0;0;1;1;0;1;1;1;59;0;2;74;0;0;5;0;2;113;1;2;186;1;0;6;0;2;165;1;5;167;1;2;99;1;3;176;1;1;156;1;3;99;1;1;37;0;Low;Low;Very Low;Moderate;Very High;High;Moderate;Very Low
LORETO;REQUENA;1;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;2;119;1;1;28;0;0;51;0;1;53;0;1;68;0;2;121;1;1;87;0;2;33;0;3;196;1;2;133;1;2;182;1;2;35;0;1;37;0;High;Very Low;Low;Low;Very Low;Very High;Very Low;Very Low
HUANUCO;LEONCIO PRADO;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;49;0;2;98;0;1;88;0;1;16;0;2;176;1;2;122;1;1;150;1;5;178;1;2;88;0;3;177;1;1;153;1;3;105;1;1;38;0;Low;Moderate;Moderate;Very Low;Very High;High;Moderate;Very Low
LIMA;OYON;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;1;1;0;1;1;1;0;0;1;1;1;0;1;0;0;1;1;41;0;2;60;0;1;91;0;1;60;0;2;112;1;2;186;1;1;92;0;4;126;1;2;118;1;2;40;0;1;64;0;2;24;0;1;39;0;Low;Low;Moderate;Low;High;Low;Very Low;Very Low
CAJAMARCA;JAEN;1;0;0;1;0;1;0;1;0;0;0;1;0;1;1;1;1;0;0;1;0;0;1;1;1;0;0;0;0;1;0;1;1;2;85;0;2;62;0;0;47;0;1;59;0;2;178;1;1;33;0;1;118;1;4;156;1;2;55;0;2;141;1;1;101;1;3;58;0;1;40;0;Moderate;Low;Low;Low;High;Moderate;Low;Low
LIMA;CAÑETE;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;10;0;2;113;1;1;62;0;1;70;0;2;113;1;2;179;1;2;183;1;5;183;1;1;37;0;1;19;0;0;8;0;2;25;0;1;42;0;Very Low;Moderate;Low;Low;Very High;Very Low;Very Low;Low
