departamento;provincia;ubigeo;pob2017;pob2020;pobreza;desempleo_n;ingreso_porc;nosec25;nosec25_porc;p65amas;p65amas_porc;p17amenos;p17amenos_porc;pmayorde5disc;pmayorde5disc_porc;hogarmonop;pobind;esp2dalengua;esp2dalengua_porc;vivprecaria;hacinam;carret_asfalt;adultos_hta_freq;adultos_hyperchol_freq;adultos_ecv_freq;adultos_asma_freq;adultos_epoc_freq;tabaco;cancer_c;cancer_d;vih;obes_imc30_freq;adultos_diabetes_freq;densidadpob;mortalidad_iras;mortalidad_irasx100000;n_camas_hospitalarias;n_camas_uci;n_medicos;n_ventiladores;gastoregsalud_porc;gastoxcapitasalud;labcovid;n_emergencia;desempleo_porc;hogarmonop_porc;hacinam_porc;hta_porc;coles_porc;ecv_porc;asma_porc;epoc_porc;obesidad_porc;diabetes_porc;cancer_n;cancer_porc;camas_hospix100mil;camas_ucix100mil;medicosx100mil;ventiladoresx100mil;labcovidx100mil;emergenciax100mil
SAN MARTIN;SAN MARTIN;2209;193095;218074;161;100328;1178;34057;0;19443;0;65490;0;19868;0;34292;0;3165;0;0;26738;0;1575;2397;906;581;786;18;996;3627;802;4535;1890;34;32;17;497;48;250;23;1;19;1;10;1;0;0;0;0;0;0;0;0;0;4623;0;257;25;129;16;1;5
SAN MARTIN;TOCACHE;2210;69394;76450;151;38405;953;18526;0;6084;0;27130;0;6735;0;11123;0;2717;0;0;10966;0;490;1097;10;162;653;18;49;295;20;1290;765;12;2;3;79;4;50;2;1;19;1;2;1;0;0;0;0;0;0;0;0;0;344;0;114;6;72;16;1;3
TACNA;CANDARAVE;2302;6102;6093;123;3326;373;2216;0;1355;0;1495;0;1018;0;1018;1;1958;0;1;848;0;4;136;3;28;22;13;1;24;0;1477;7;3;0;0;12;0;8;0;1;18;1;0;1;0;0;0;0;0;0;0;0;0;25;0;197;0;131;15;16;0
TACNA;JORGE BASADRE;2303;10773;12549;186;4256;1504;1461;0;1232;0;3112;0;978;0;1798;0;1939;0;0;1138;1;17;197;0;123;120;13;4;19;27;1467;16;4;1;9;55;1;7;0;1;18;1;0;0;0;0;0;0;0;0;0;0;0;23;0;511;9;65;15;9;0
TACNA;TACNA;2301;306363;346192;164;148133;1000;36852;0;32534;0;90876;0;34239;0;81326;0;70949;0;0;38652;0;918;6997;206;1715;1540;13;812;2512;308;32678;1933;37;22;7;471;37;401;45;1;18;1;1;0;0;0;0;0;0;0;0;0;0;3324;0;154;12;131;15;0;0
TACNA;TARATA;2304;6094;6140;102;3381;440;1941;0;1361;0;1354;0;1141;0;1192;0;1613;0;1;719;0;17;258;1;16;29;13;16;15;29;1310;12;2;0;0;17;0;10;0;1;18;1;0;1;0;0;0;0;0;0;0;0;0;31;0;279;0;164;15;16;0
TUMBES;CONTRALMIRANTE VILLAR;2402;21057;24127;178;11460;970;4250;0;2209;0;7167;0;1637;0;2949;0;258;0;0;2905;0;429;536;8;52;136;20;30;155;114;2317;314;10;0;0;30;0;23;0;1;27;2;1;1;0;0;0;0;0;0;0;0;0;185;0;142;0;109;7;9;5
TUMBES;TUMBES;2401;154962;171356;180;85062;984;23869;0;16684;0;53695;0;15340;0;31001;0;1198;0;0;23753;0;1152;4443;128;368;96;20;313;1197;908;13260;1972;86;23;15;341;22;188;11;1;27;2;3;1;0;0;0;0;0;0;0;0;0;1510;0;220;14;121;7;1;2
TUMBES;ZARUMILLA;2403;48844;56038;183;26217;812;9104;0;3880;0;19194;0;3961;0;9592;0;380;0;0;8152;0;352;944;13;122;26;20;75;339;228;3078;613;66;5;10;50;0;27;0;1;27;2;2;1;0;0;0;0;0;0;0;0;0;414;0;102;0;55;7;4;4
UCAYALI;ATALAYA;2502;49324;61049;100;29846;522;11813;0;2619;0;28515;1;2239;0;7788;1;23210;0;0;9220;0;306;275;1;77;313;21;7;131;347;2083;365;1;3;6;57;4;18;0;1;21;1;1;1;0;0;0;0;0;0;0;0;0;138;0;116;8;36;5;2;2
UCAYALI;CORONEL PORTILLO;2501;384168;447733;182;215758;866;57737;0;35268;0;160081;0;33312;0;86792;0;29834;0;0;60380;0;5935;3597;446;962;2332;21;1337;3586;285;11630;6598;11;107;28;715;41;367;20;1;21;1;1;1;0;0;0;0;0;0;0;0;0;4923;0;186;11;96;5;0;0
UCAYALI;PADRE ABAD;2503;60107;77044;179;32376;642;16857;0;4045;0;28416;0;5078;0;10655;0;7737;0;0;9938;0;672;646;9;170;775;21;86;309;58;1755;739;7;1;2;66;0;41;0;1;21;1;1;1;0;0;0;0;0;0;0;0;0;395;0;110;0;68;5;2;2
UCAYALI;PURUS;2504;2860;3284;103;1908;552;2358;1;190;0;1547;1;173;0;428;1;1813;1;0;484;0;12;5;0;2;138;21;2;22;0;22;62;0;0;0;9;0;2;0;1;21;1;0;1;0;0;0;0;0;0;0;0;0;24;0;315;0;70;5;35;0
